mcd,1hour,0,10.9612,slopenormal,PCompareNormal,FDAX,10.9612
RVI_CROSS,1hour,0,0.0616,slopenormal,PCompareNormal,FDAX,0.0616
StochD,1hour,0,23.4926,slopenormal,PCompareNormal,FDAX,23.4926
StochK,1hour,0,28.2909,slopenormal,PCompareNormal,FDAX,28.2909
RVIsignal,1hour,0,0.1196,slopenormal,PCompareNormal,FDAX,0.1196
RVIline,1hour,0,0.0885,slopenormal,PCompareNormal,FDAX,0.0885
ATR,1hour,0,7.4013,slopenormal,PCompareNormal,FDAX,7.4013
diffvES,1hour,0,0.0136,slopenormal,PCompareNormal,FDAX,0.0136
kupper,1hour,0,45.0824,slopenormal,PCompareNormal,FDAX,45.0824
klower,1hour,0,49.1097,slopenormal,PCompareNormal,FDAX,49.1097
kmid,1hour,0,45.3436,slopenormal,PCompareNormal,FDAX,45.3436
bbandupper,1hour,0,35.7884,slopenormal,PCompareNormal,FDAX,35.7884
bbandlower,1hour,0,46.0093,slopenormal,PCompareNormal,FDAX,46.0093
stddev,1hour,0,7.5756,slopenormal,PCompareNormal,FDAX,7.5756
pivot,1hour,0,68.7435,slopenormal,PCompareNormal,FDAX,68.7435
R,1hour,0,71.1075,slopenormal,PCompareNormal,FDAX,71.1075
S,1hour,0,73.7655,slopenormal,PCompareNormal,FDAX,73.7655
S2,1hour,0,78.6234,slopenormal,PCompareNormal,FDAX,78.6234
R2,1hour,0,75.6127,slopenormal,PCompareNormal,FDAX,75.6127
sma200,1hour,0,6.3633,slopenormal,PCompareNormal,FDAX,6.3633
sma100,1hour,0,13.5307,slopenormal,PCompareNormal,FDAX,13.5307
sma50,1hour,0,5.7318,slopenormal,PCompareNormal,FDAX,5.7318
ema,1hour,0,31.7853,slopenormal,PCompareNormal,FDAX,31.7853
ROC,1day,0,4.3271,slopenormal,PCompareNormal,FDAX,4.3271
RVIsignal,1day,0,850.0655,slopenormal,PCompareNormal,FDAX,850.0655
RVI_CROSS,1day,0,425.0902,slopenormal,PCompareNormal,FDAX,425.0902
RVIline,1day,0,1275.1557,slopenormal,PCompareNormal,FDAX,1275.1557
AO,1day,0,422.4522,slopenormal,PCompareNormal,FDAX,422.4522
AOAcc,1day,0,106.383,slopenormal,PCompareNormal,FDAX,106.383
RSI,1day,0,12.948,slopenormal,PCompareNormal,FDAX,12.948
mcross,1day,0,159.7747,slopenormal,PCompareNormal,FDAX,159.7747
Stoch_CROSS,1day,0,10.5908,slopenormal,PCompareNormal,FDAX,10.5908
mcd,1day,0,40.9861,slopenormal,PCompareNormal,FDAX,40.9861
RVI_CROSS,1day,0,425.0902,slopenormal,PCompareNormal,FDAX,425.0902
StochD,1day,0,27.7868,slopenormal,PCompareNormal,FDAX,27.7868
StochK,1day,0,31.5417,slopenormal,PCompareNormal,FDAX,31.5417
RVIsignal,1day,0,850.0655,slopenormal,PCompareNormal,FDAX,850.0655
